term,aliases,target,코드수,수입액_백만달러,수입몫_%,이미검색됨,판정,대상_법정명칭
니켈,니켈지금,7502,3,407.6,0.065,3/3,이미검색됨,니켈의 괴(塊)
백신,코로나백신|예방접종,3002,17,3890.3,0.616,17/17,이미검색됨,"사람의 피, 치료용·예방용·진단용으로 조제한 동물의 피, 면역혈청·그 밖의 혈액 분획물과 면역물품(생물공학적"
의약품,약|처방약|신약,3004,35,5091.7,0.806,35/35,이미검색됨,의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 
항생제,항생물질,2941|3003,29,310.8,0.049,0/29,OK,항생물질 / 의약품(두 가지 이상의 성분을 혼합한 치료용이나 예방용의 것으로서 제3002호·제3005호·제3006호의 물
비타민,영양제,2936|2106,44,2384.7,0.378,21/44,OK,"프로비타민과 비타민(천연의 것과 이와 동일한 구조를 가지는 합성의 것으로 한정하며, 천연의 프로비타민 농축물 / 따로 분류되지 않은 조제 식료품"
건강기능식품,건기식|영양보충제,2106,23,2142.2,0.339,0/23,OK,따로 분류되지 않은 조제 식료품
화장품,기초화장품|스킨케어,3304,13,974.6,0.154,13/13,이미검색됨,"미용이나 메이크업용 제품류와 기초화장용 제품류[의약품은 제외하며, 선스크린(sunscreen)과 선탠(sun"
향수,퍼퓸|향수류,3303,2,251.2,0.04,2/2,이미검색됨,향수와 화장수
샴푸,린스|헤어케어,3305,6,244.2,0.039,1/6,OK,두발용 제품류
비누,세안비누|손비누,3401,7,171.3,0.027,7/7,이미검색됨,"비누, 비누로 사용되는 유기계면활성제품과 조제품[막대(bar) 모양·케이크 모양·주형 모양으로 된 것으로 한"
치약,구강청결,3306,7,136.4,0.022,1/7,OK,"구강·치과 위생용 제품류[치열 교정용 페이스트(paste)와 가루를 포함한다], 치간 청결용 실로서 개별 소"
세제,세탁세제|주방세제,3402,12,462.6,0.073,12/12,이미검색됨,"유기계면활성제(비누는 제외한다), 조제 계면활성제·조제 세제(보조 조제 세제를 포함한다)·조제 청정제(비누를"
기저귀,종이기저귀|팬티기저귀,9619,8,202.1,0.032,8/8,이미검색됨,"위생타월(패드)·탐폰(tampon), 냅킨(기저귀)·냅킨라이너(napkin liner)와 이와 유사한 물품("
생리대,위생용품,9619,8,202.1,0.032,0/8,OK,"위생타월(패드)·탐폰(tampon), 냅킨(기저귀)·냅킨라이너(napkin liner)와 이와 유사한 물품("
마스크,보건용마스크|KF94,630790|481890,9,519.9,0.082,4/9,OK,기타 / 기타
페인트,도료|페인트류,3208|3209,31,577.8,0.091,31/31,이미검색됨,"페인트와 바니시(varnish)[에나멜·래커(lacquer)를 포함하며, 합성 중합체나 화학적으로 변성한 천 / 페인트와 바니시(varnish)[에나멜과 래커(lacquer)를 포함하며, 합성 중합체나 화학적으로 변성한 "
접착제,본드|실란트,3506,7,360.9,0.057,7/7,이미검색됨,"조제 글루(glue)와 그 밖의 조제 접착제(따로 분류되지 않은 것으로 한정한다), 글루(glue)나 접착제"
플라스틱,합성수지,3901|3902|3903|3904|3907,45,2815.2,0.446,45/45,이미검색됨,"에틸렌의 중합체[일차제품(primary form)으로 한정한다] / 프로필렌의 중합체나 그 밖의 올레핀의 중합체[일차제품(primary form)으로 한정한다] / 스티렌의 중합체[일차제품(primary form)으로 한정한다] / 염화비닐의 중합체나 그 밖의 할로겐화 올레핀의 중합체[일차제품(primary form)으로 한정한다] / 폴리아세탈수지·그 밖의 폴리에테르와 에폭시수지, 폴리카보네이트·알키드수지·폴리아릴에스테르와 그 밖의 폴리에스"
페트,PET|폴리에틸렌테레프탈레이트,390761|390769,2,370.1,0.059,0/2,OK,점도번호가 그램당 78 밀리리터 이상인 것 / 기타
폴리에틸렌,PE,3901,6,517.4,0.082,3/6,OK,에틸렌의 중합체[일차제품(primary form)으로 한정한다]
폴리프로필렌,PP,3902,4,195.4,0.031,1/4,OK,프로필렌의 중합체나 그 밖의 올레핀의 중합체[일차제품(primary form)으로 한정한다]
타이어,자동차타이어|튜브,4011,18,1212.2,0.192,18/18,이미검색됨,고무로 만든 공기타이어(신품으로 한정한다)
고무,천연고무|합성고무,4001|4002,24,962.5,0.152,24/24,이미검색됨,천연고무·발라타(balata)·구타페르카(gutta-percha)·구아율(guayule)·치클(chicle) / 합성고무와 기름에서 제조한 팩티스(factice)[일차제품(primary form)·판·시트(sheet)·스
가죽,피혁|원피,4104|4107,10,123.2,0.02,10/10,이미검색됨,"소(버팔로를 포함한다)나 마속(馬屬)동물의 유연처리나 크러스트 처리한 원피[털을 제거한 것으로 한정하고, 스 / 유연처리·크러스트 처리한 후 그 이상의 가공을 한 소(버팔로를 포함한다)나 마속(馬屬)동물의 가죽[파치먼트("
가방,핸드백|백팩|배낭|여행가방|캐리어,4202,37,3274.4,0.518,37/37,이미검색됨,트렁크·슈트 케이스·화장품 케이스·이그잭큐티브 케이스(executive case)·서류가방·학생가방·안경케이
지갑,카드지갑|파우치,4202,37,3274.4,0.518,37/37,이미검색됨,트렁크·슈트 케이스·화장품 케이스·이그잭큐티브 케이스(executive case)·서류가방·학생가방·안경케이
목재,원목|제재목,4403|4407,102,615.0,0.097,102/102,이미검색됨,"원목[껍질·변재(邊材)를 벗긴 것인지 또는 거칠게 각을 뜬 것인지에 상관없다] / 제재목[길이의 방향으로 쪼갠 것, 평삭(平削)한 것, 회전식으로 절단한 것으로서 두께가 6밀리미터를 초과하는"
합판,베니어,4412,61,670.6,0.106,61/61,이미검색됨,합판·베니어패널과 이와 유사한 적층 목재
종이,인쇄용지|복사용지,4802,43,243.0,0.038,43/43,이미검색됨,"도포하지 않은 종이와 판지(필기용, 인쇄용, 그 밖의 그래픽용으로 한정한다), 구멍을 뚫지 않은 펀치카드와 "
골판지,박스지|포장용지,4808|4819,11,338.9,0.054,2/11,OK,"물결 모양으로 하거나(corrugated)(평면지가 붙은 것인지에 상관없다) 주름지거나(creped) 구겨지 / 종이·판지·셀룰로오스워딩·셀룰로오스섬유의 웹(web)으로 만든 상자·포장대·그 밖의 포장용기, 종이나 판지로"
화장지,휴지|두루마리휴지,4818,5,126.6,0.02,5/5,이미검색됨,화장지와 이와 유사한 종이·셀롤로오스워딩·셀룰로오스섬유의 웹(web)(가정용이나 위생용으로 사용되는 것으로서
책,도서|서적,4901,6,99.8,0.016,6/6,이미검색됨,인쇄서적·소책자·리플릿(leaflet)과 이와 유사한 인쇄물(단매인지에 상관없다)
면,원면|면화,5201,6,122.0,0.019,6/6,이미검색됨,면[카드(card)하지도 코움(comb)하지도 않은 것으로 한정한다]
면사,면실,5205,34,239.6,0.038,34/34,이미검색됨,"면사(면의 함유량이 전 중량의 100분의 85 이상인 것으로 한정하며, 재봉사와 소매용은 제외한다)"
폴리에스터,합성섬유|화학섬유,5402|5503,52,787.2,0.125,0/52,OK,"합성필라멘트사(재봉사와 소매용은 제외하며, 67데시텍스 미만인 합성모노필라멘트를 포함한다) / 합성스테이플섬유[카드(card)·코움(comb)이나 그 밖의 방적준비 처리를 한 것은 제외한다]"
원단,직물|생지,5208|5407|5512,86,342.6,0.054,0/86,OK,면직물(면의 함유량이 전 중량의 100분의 85 이상인 것으로서 1제곱미터당 중량이 200그램 이하인 것으로 / 합성필라멘트사의 직물(제5404호 재료로 직조한 직물을 포함한다) / 합성스테이플섬유의 직물(합성스테이플섬유의 함유량이 전 중량의 100분의 85 이상인 것으로 한정한다)
카펫,러그|깔개,5701|5702|5703,20,92.4,0.015,0/20,OK,"양탄자류와 그 밖의 방직용 섬유로 만든 바닥깔개(매듭이 있는 것으로 한정하며, 제품으로 된 것인지에 상관없다 / 양탄자류와 그 밖의 방직용 섬유로 만든 바닥깔개[직조한 것으로 한정하고, 터프트(tuft)하거나 플록(flo / 양탄자류와 그 밖의 방직용 섬유로 만든 바닥깔개(인조잔디(turf)를 포함한다)[터프트(tuft)한 것으로 "
부직포,논우븐,5603,12,455.9,0.072,12/12,이미검색됨,부직포(침투·도포·피복·적층한 것인지에 상관없다)
의류,옷|의복,6101|6102|6103|6104|6201|6202|6203|6204,112,5359.2,0.848,112/112,이미검색됨,남성용이나 소년용 오버코트(overcoat)·카코트(car-coat)·케이프(cape)·클록(cloak)·아 / 여성용이나 소녀용 오버코트(overcoat)·카코트(car-coat)·케이프(cape)·클록(cloak)·아 / 남성용이나 소년용 슈트·앙상블(ensemble)·재킷·블레이저(blazer)·긴 바지·가슴받이와 멜빵이 있는 / 여성용이나 소녀용 슈트·앙상블(ensemble)·재킷·블레이저(blazer)·드레스·스커트·치마바지·긴 바지 / 남성용이나 소년용 오버코트(overcoat)·카코트(car-coat)·케이프(cape)·클록(cloak)·아 / 여성용이나 소녀용 오버코트(overcoat)·카코트(car-coat)·케이프(cape)·클록(cloak)·아 / 남성용이나 소년용 슈트·앙상블(ensemble)·재킷·블레이저(blazer)·긴 바지·가슴받이와 멜빵이 있는 / 여성용이나 소녀용 슈트·앙상블(ensemble)·재킷·블레이저(blazer)·드레스·스커트·치마바지·긴 바지
티셔츠,티|반팔티|셔츠,6109|6105|6106|6205|6206,28,2081.2,0.329,10/28,OK,티셔츠·싱글리트(singlet)와 그 밖의 조끼(메리야스 편물이나 뜨개질 편물로 한정한다) / 남성용이나 소년용 셔츠(메리야스 편물이나 뜨개질 편물로 한정한다) / 여성용이나 소녀용 블라우스·셔츠·셔츠블라우스(메리야스 편물이나 뜨개질 편물로 한정한다) / 남성용이나 소년용 셔츠 / 여성용이나 소녀용 블라우스·셔츠·셔츠블라우스
청바지,데님바지|바지,6203|6204|6211,63,3533.6,0.559,2/63,OK,남성용이나 소년용 슈트·앙상블(ensemble)·재킷·블레이저(blazer)·긴 바지·가슴받이와 멜빵이 있는 / 여성용이나 소녀용 슈트·앙상블(ensemble)·재킷·블레이저(blazer)·드레스·스커트·치마바지·긴 바지 / 트랙슈트·스키슈트·수영복과 그 밖의 의류
코트,외투|점퍼|패딩,6101|6102|6201|6202,29,1971.9,0.312,29/29,이미검색됨,남성용이나 소년용 오버코트(overcoat)·카코트(car-coat)·케이프(cape)·클록(cloak)·아 / 여성용이나 소녀용 오버코트(overcoat)·카코트(car-coat)·케이프(cape)·클록(cloak)·아 / 남성용이나 소년용 오버코트(overcoat)·카코트(car-coat)·케이프(cape)·클록(cloak)·아 / 여성용이나 소녀용 오버코트(overcoat)·카코트(car-coat)·케이프(cape)·클록(cloak)·아
스웨터,니트|카디건,6110,8,1581.7,0.25,0/8,OK,저지(jersey)·풀오버(pullover)·카디건(cardigan)·웨이스트코트(waistcoat)와 이와
양말,스타킹|타이츠,6115,9,144.2,0.023,9/9,이미검색됨,팬티호스(panty hose)·타이츠(tights)·스타킹과 그 밖의 양말류[단계압박 양말류(예: 정맥류 치
속옷,팬티|브래지어|내의,6107|6108|6212,33,640.4,0.101,0/33,OK,남성용이나 소년용 언더팬츠·브리프(brief)·나이트셔츠·파자마·목욕용 가운·드레싱가운과 이와 유사한 물품( / 여성용이나 소녀용 슬립·페티코트(petticoat)·브리프(brief)·팬티·나이트드레스·파자마·네그리제(n / 브래지어·거들·코르셋(corset)·브레이스(braces)·서스펜더(suspender)·가터(garter)와
수영복,래시가드,6112|6211,26,996.8,0.158,26/26,이미검색됨,트랙슈트·스키슈트·수영복(메리야스 편물이나 뜨개질 편물로 한정한다) / 트랙슈트·스키슈트·수영복과 그 밖의 의류
장갑,목장갑|방한장갑,6116|6216,8,197.9,0.031,8/8,이미검색됨,장갑류(메리야스 편물이나 뜨개질 편물로 한정한다) / 장갑류
이불,침구|베개|담요,6301|6302,21,255.8,0.04,0/21,OK,모포류와 여행용 러그(rug) / 베드린넨(bed linen)·테이블린넨(table linen)·토일렛린넨(toilet linen)·주방린넨(
수건,타월|타올,6302,16,203.4,0.032,0/16,OK,베드린넨(bed linen)·테이블린넨(table linen)·토일렛린넨(toilet linen)·주방린넨(
커튼,블라인드,6303,5,68.7,0.011,5/5,이미검색됨,"커튼[드레이프(drape)를 포함한다]·실내용 블라인드(blind), 커튼이나 침대용 밸런스(valance)"
운동화,스니커즈|스포츠화,6404|6403,20,2370.5,0.375,0/20,OK,"신발류[바깥 바닥을 고무·플라스틱·가죽·콤퍼지션 레더(composition leather)로 만들고, 갑피( / 신발류[바깥 바닥을 고무·플라스틱·가죽·콤퍼지션 레더(composition leather)로 만들고, 갑피("
구두,가죽구두|드레스화,6403,16,1224.9,0.194,0/16,OK,"신발류[바깥 바닥을 고무·플라스틱·가죽·콤퍼지션 레더(composition leather)로 만들고, 갑피("
슬리퍼,샌들|실내화,6402|6404,13,2066.5,0.327,0/13,OK,"그 밖의 신발류[바깥 바닥과 갑피(甲皮)를 고무나 플라스틱으로 만든 것으로 한정한다] / 신발류[바깥 바닥을 고무·플라스틱·가죽·콤퍼지션 레더(composition leather)로 만들고, 갑피("
장화,레인부츠|작업화,6401|6402,16,955.1,0.151,0/16,OK,"방수 신발류[바깥 바닥과 갑피(甲皮)를 고무나 플라스틱으로 만든 것으로 한정하며, 갑피(甲皮)를 바닥에 스티 / 그 밖의 신발류[바깥 바닥과 갑피(甲皮)를 고무나 플라스틱으로 만든 것으로 한정한다]"
모자,캡|비니,6505|6506,9,290.5,0.046,9/9,이미검색됨,모자[메리야스 편물이나 뜨개질 편물의 것과 원단 상태(스트립 모양은 제외한다)인 레이스·펠트(felt)나 그 / 그 밖의 모자(안을 댄 것인지 또는 장식한 것인지에 상관없다)
우산,양산,6601,4,125.1,0.02,4/4,이미검색됨,산류(傘類)[지팡이 겸용 우산·정원용 산류(傘類)와 이와 유사한 산류(傘類)를 포함한다]
유리,판유리|강화유리,7005|7007,64,389.1,0.062,64/64,이미검색됨,"플로트유리(float glass)와 표면을 연마한 유리[시트(sheet) 모양으로 한정하고, 흡수층·반사층· / 안전유리(강화유리나 접합유리로 된 것으로 한정한다)"
유리병,유리용기,7010,3,123.5,0.02,0/3,OK,유리로 만든 카보이(carboy)·병·플라스크·단지·항아리·약병·앰플과 그 밖에 이와 유사한 용기(물품의 수
도자기,그릇|식기|타일,6907|6911|6912,18,547.1,0.087,0/18,OK,"도자제의 판석과 포장(鋪裝)용ㆍ노(爐)용ㆍ벽용 타일, 도자제의 모자이크 큐브와 이와 유사한 것(뒷면을 보강한 / 자기제의 식탁용품·주방용품·그 밖의 가정용품·화장용품 / 도자제의 식탁용품·주방용품·그 밖의 가정용품·화장용품(자기제의 것은 제외한다)"
다이아몬드,금강석,7102,5,38.4,0.006,5/5,이미검색됨,다이아몬드(가공한 것인지에 상관없으며 장착되거나 세트로 된 것은 제외한다)
금,금괴|골드,7108,9,7709.3,1.22,9/9,이미검색됨,"금(백금을 도금한 금을 포함하며, 가공하지 않은 것·반가공한 모양이나 가루 모양인 것으로 한정한다)"
은,은괴|실버,7106,7,326.0,0.052,7/7,이미검색됨,"은(금이나 백금을 도금한 은을 포함하며, 가공하지 않은 것·반가공한 모양이나 가루 모양인 것으로 한정한다)"
백금,플래티넘,7110,8,1544.7,0.245,8/8,이미검색됨,백금(가공하지 않은 것·반가공한 모양이나 가루 모양인 것으로 한정한다)
귀금속,장신구|주얼리|반지|목걸이,7113,8,1563.7,0.248,8/8,이미검색됨,신변장식용품과 그 부분품(귀금속으로 만들거나 귀금속을 입힌 금속으로 만든 것으로 한정한다)
철강,철강재|강재,7208|7209|7210,61,3783.0,0.599,61/61,이미검색됨,"철이나 비합금강의 평판압연제품[폭이 600밀리미터 이상인 것으로서 열간(熱間)압연한 것으로 한정하고, 클래드 / 철이나 비합금강의 평판압연제품[폭이 600밀리미터 이상인 것으로서 냉간압연(냉간환원)한 것으로 한정하고, 클 / 철이나 비합금강의 평판압연제품[폭이 600밀리미터 이상인 것으로서 클래드(clad)·도금·도포한 것으로 한정"
열연강판,열연,7208,26,2283.8,0.362,0/26,OK,"철이나 비합금강의 평판압연제품[폭이 600밀리미터 이상인 것으로서 열간(熱間)압연한 것으로 한정하고, 클래드"
냉연강판,냉연,7209,17,294.5,0.047,0/17,OK,"철이나 비합금강의 평판압연제품[폭이 600밀리미터 이상인 것으로서 냉간압연(냉간환원)한 것으로 한정하고, 클"
도금강판,아연도금강판|컬러강판,7210|7212,32,1263.5,0.2,0/32,OK,철이나 비합금강의 평판압연제품[폭이 600밀리미터 이상인 것으로서 클래드(clad)·도금·도포한 것으로 한정 / 철이나 비합금강의 평판압연제품[폭이 600밀리미터 미만인 것으로서 클래드(clad)·도금·도포한 것으로 한정
스테인리스,스테인레스|스텐,7219|7220,54,1178.2,0.187,54/54,이미검색됨,스테인리스강의 평판압연제품(폭이 600밀리미터 이상인 것으로 한정한다) / 스테인리스강의 평판압연제품(폭이 600밀리미터 미만인 것으로 한정한다)
철근,봉강,7213|7214,15,547.1,0.087,1/15,OK,철이나 비합금강의 봉[열간(熱間)압연한 것으로서 불규칙적으로 감은 코일 모양인 것으로 한정한다] / 철이나 비합금강의 그 밖의 봉[단조(鍛造)·열간(熱間)압연·열간인발(熱間引拔)·열간(熱間)압출보다 더 가공하
강관,파이프|철관,7304|7305|7306,50,800.3,0.127,1/50,OK,철강(주철은 제외한다)으로 만든 관(管)과 중공(中空) 프로파일(profile)[무계목(無繼目)으로 한정한다 / 철강으로 만든 그 밖의 관(管)[예: 용접·리벳(rivet)이나 이와 유사한 방법으로 봉합한 것]으로서 횡단 / 철강으로 만든 그 밖의 관(管)과 중공(中空) 프로파일(profile)[예: 오픈심(open seam)·용접
알루미늄,알루미늄괴|알미늄,7601,4,4264.5,0.675,4/4,이미검색됨,알루미늄의 괴(塊)
알루미늄판,알루미늄시트,7606,6,1354.3,0.214,0/6,OK,알루미늄의 판·시트(sheet)·스트립(두께가 0.2밀리미터를 초과하는 것으로 한정한다)
구리,동|전기동,7403,11,2635.9,0.417,11/11,이미검색됨,정제한 구리와 구리합금(가공하지 않은 것으로 한정한다)
구리선,동선|전선용동,7408,7,235.7,0.037,0/7,OK,구리의 선
아연,아연괴,7901,4,75.5,0.012,4/4,이미검색됨,아연의 괴(塊)
납,연괴,7801,6,351.6,0.056,6/6,이미검색됨,납의 괴(塊)
주석,틴,8001,2,483.9,0.077,2/2,이미검색됨,주석의 괴(塊)
텅스텐,중석,8101,10,118.1,0.019,10/10,이미검색됨,텅스텐(볼프람)과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]
티타늄,티탄,8108,6,333.7,0.053,6/6,이미검색됨,티타늄과 그 제품[웨이스트(waste)와 스크랩(scrap)을 포함한다]
희토류,희토류금속|레어어스,2805|2846,13,149.7,0.024,13/13,이미검색됨,"알칼리금속·알칼리토류금속, 희토류(稀土類)금속, 스칸듐과 이트륨(상호 혼합된 것인지 또는 상호 합금된 것인지 / 희토류(稀土類)금속·이트륨·스칸듐이나 이들 금속혼합물의 무기·유기 화합물"
나사,볼트|너트|스크류,7318,15,662.6,0.105,0/15,OK,철강으로 만든 스크루(screw)·볼트(bolt)·너트(nut)·코치 스크루(coach screw)·스크루 
못,철못|타카핀,7317,9,27.6,0.004,9/9,이미검색됨,철강으로 만든 못·압정·제도용 핀·물결 모양 못·스테이플(제8305호의 것은 제외한다)과 이와 유사한 물품[
공구,드릴비트|절삭공구,8207,24,334.0,0.053,24/24,이미검색됨,수공구용(동력작동식인지에 상관없다)이나 기계용 호환성 공구[예: 프레싱(pressing)용·스탬핑(stamp
칼,주방칼|식칼|커터,8211,6,42.5,0.007,6/6,이미검색됨,"칼(톱니가 있는지에 상관없으며 절단용 칼날을 갖춘 것으로 한정하고 전지용 칼을 포함하며, 제8208호의 칼은"
숟가락,포크|수저|커트러리,8215,8,51.4,0.008,0/8,OK,스푼·포크·국자·스키머(skimmer)·케이크서버(cake-server)·생선용 칼·버터용 칼·설탕집게와 이
자물쇠,도어락|잠금장치,8301,9,161.6,0.026,9/9,이미검색됨,"비금속(卑金屬)으로 만든 자물쇠(열쇠식·다이얼식·전기작동식), 비금속(卑金屬)으로 만든 걸쇠와 걸쇠가 붙은 "
원자로,원전설비,8401,4,2.7,0.0,4/4,이미검색됨,"원자로, 방사선을 조사(照射)하지 않은 원자로용 연료 요소(카트리지)와 동위원소 분리용 기기"
보일러,산업용보일러,8402|8403,11,134.1,0.021,11/11,이미검색됨,증기발생보일러(저압증기도 발생시킬 수 있는 중앙난방용 온수보일러는 제외한다)와 과열수보일러(super-hea / 중앙난방용 보일러(제8402호의 것은 제외한다)
터빈,증기터빈|가스터빈,8406|8411,29,3577.0,0.566,29/29,이미검색됨,증기터빈 / 터보제트·터보프로펠러와 그 밖의 가스터빈
엔진,내연기관|디젤엔진,8407|8408,28,2036.2,0.322,28/28,이미검색됨,왕복이나 로터리 방식으로 움직이는 불꽃점화식 피스톤 내연기관 / 압축점화식 피스톤 내연기관(디젤엔진이나 세미디젤엔진)
펌프,워터펌프|유압펌프,8413,34,1696.2,0.269,34/34,이미검색됨,액체펌프(계기를 갖추었는지에 상관없다)와 액체엘리베이터
공기압축기,컴프레서|콤프레샤,8414,28,3338.3,0.528,0/28,OK,"기체펌프나 진공펌프·기체 압축기와 팬, 팬이 결합된 환기용이나 순환용 후드(필터를 갖추었는지에 상관없다), "
선풍기,환풍기|송풍기,841451|841459|841480,13,1771.2,0.28,0/13,OK,테이블용·바닥용·벽용·창용·천장용·지붕용 팬(출력이 125와트 이하인 전동기를 갖춘 것으로 한정한다) / 기타 / 기타
에어컨,에어콘|공조기|냉방기,8415,11,1037.2,0.164,0/11,OK,"공기조절기(동력구동식 팬과 온도와 습도를 변화시키는 기구를 갖춘 것으로 한정하며, 습도만을 따로 조절할 수 "
냉장고,냉동고|김치냉장고,8418,23,803.0,0.127,23/23,이미검색됨,"냉장고·냉동고와 그 밖의 냉장기구나 냉동기구(전기식인지에 상관없다), 열펌프(제8415호의 공기조절기는 제외"
정수기,물여과기,842121,4,166.4,0.026,0/4,OK,물의 여과용이나 청정용
공기청정기,청정기|에어퍼리파이어|공기여과기,842139,10,446.2,0.071,0/10,OK,기타
식기세척기,식세기|접시세척기,842211|842219,2,73.2,0.012,0/2,OK,가정형 / 기타
포장기계,충전기계|라벨기,8422,16,475.2,0.075,16/16,이미검색됨,"접시세척기, 병이나 그 밖의 용기의 세정용이나 건조용 기계, 병·깡통·상자·자루·그 밖의 용기의 충전용·봉함"
지게차,포크리프트,8427,12,288.6,0.046,0/12,OK,"포크리프트트럭(fork-lift truck), 그 밖의 작업트럭[권양(捲揚)용이나 취급용 장비가 결합된 것으"
굴착기,굴삭기|포클레인,8429,23,149.5,0.024,0/23,OK,자주식(自走式)불도저(bulldozer)·앵글도저(angledozer)·그레이더(grader)·레벨러(lev
트랙터,농기계,8701|8432,46,361.5,0.057,32/46,OK,트랙터(제8709호의 트랙터는 제외한다) / 농업용·원예용·임업용 기계(토양 정리용이나 경작용으로 한정한다)와 잔디용이나 운동장용 롤러
콤바인,수확기,8433,15,166.0,0.026,0/15,OK,"수확기나 탈곡기(짚이나 건초 결속기를 포함한다), 풀 베는 기계, 새의 알·과실이나 그 밖의 농산물의 세정기"
프린터,복합기|복사기,8443,36,1152.9,0.183,8/36,OK,"제8442호의 플레이트·실린더와 그 밖의 인쇄용 구성 부품을 사용하는 인쇄기, 그 밖의 인쇄기·복사기·팩시밀"
재봉기,미싱,8452,10,25.9,0.004,10/10,이미검색됨,"재봉기(제8440호의 제본용 재봉기는 제외한다), 재봉기용으로 특수 제작된 가구·밑판·덮개, 재봉기용 바늘"
공작기계,머시닝센터|CNC,8457|8458|8459,33,283.8,0.045,22/33,OK,금속 가공용 머시닝센터(machining centre)·유닛 컨스트럭션 머신(unit construction / 금속 절삭가공용 선반(터닝센터를 포함한다) / 금속 절삭가공용 공작기계[웨이타입(way-type) 유닛헤드머신(unit head machine)을 포함한다
반도체장비,노광장비|식각장비|전공정장비,8486,79,21757.8,3.444,0/79,OK,반도체 보울(boule)이나 웨이퍼(wafer)·반도체디바이스·전자집적회로·평판디스플레이의 제조에 전용되거나
베어링,볼베어링,8482,9,918.6,0.145,9/9,이미검색됨,볼베어링(ball bearing)이나 롤러베어링(roller bearing)
기어,감속기,8483,23,1336.7,0.212,23/23,이미검색됨,"전동축[캠샤프트(cam shaft)와 크랭크샤프트(crank shaft)를 포함한다], 크랭크(crank),"
세탁기,드럼세탁기|통돌이,8450,5,397.8,0.063,5/5,이미검색됨,가정형이나 세탁소형 세탁기(세탁·건조 겸용기를 포함한다)
건조기,의류건조기,8451,21,95.1,0.015,3/21,OK,세탁용·클리닝용·쥐어짜기용·건조용·다림질용·프레스용[퓨징프레스(fusing press)를 포함한다]·표백용·
컴퓨터,노트북|랩탑|PC|데스크탑|서버,8471,30,9412.4,1.49,0/30,OK,"자동자료처리기계와 그 단위기기, 자기식이나 광학식 판독기, 자료를 자료매체에 부호 형태로 전사하는 기계와 이"
SSD,하드디스크|HDD|저장장치|기억장치,847170,8,795.6,0.126,0/8,OK,기억장치
