hs4,수입액_백만달러,미등록_코드수,류,호_법정명칭
7019,607.8,29,유리와 유리제품,유리섬유[글라스 울(glass wool)을 포함한다]와 이들의 제품[예: 실·로빙(roving)·직물]
3919,602.0,2,플라스틱과 그 제품,플라스틱으로 만든 접착성 판·시트(sheet)·필름·박(箔)·테이프·스트립과 그 밖의 평면 모양인 것(롤 모양인지에 상관없다)
3707,572.0,10,사진용이나 영화용 재료,"사진용 화학조제품[바니시(varnish)·글루(glue)·접착제와 이와 유사한 조제품은 제외한다], 사진용 단일 물품(일정 소량으로 나누거나 그대로 사용할 수 있"
8503,571.6,4,"전기기기와 그 부분품, 녹음기·음성 재생기·텔레비전의 영상과 음성의 기록기·재생기와 이들의 부분품·부속품",부분품(제8501호나 제8502호의 기계에 전용되거나 주로 사용되는 것으로 한정한다)
1605,568.8,44,육류·어류·갑각류·연체동물이나 그 밖의 수생(水生) 무척추동물 또는 곤충의 조제품,조제하거나 보존처리한 갑각류·연체동물·그 밖의 수생(水生) 무척추동물
2707,554.3,10,"광물성연료·광물유(鑛物油)와 이들의 증류물, 역청(瀝靑)물질, 광물성 왁스",콜타르(coal tar)를 고온 증류하여 얻은 오일과 그 밖에 이와 유사한 물품[방향족(芳香族) 성분의 중량이 비방향족(非芳香族) 성분의 중량을 초과하는 것으로 
2921,552.2,52,유기화학품,아민관능화합물
2903,549.3,46,유기화학품,탄화수소의 할로겐화 유도체
7006,548.9,5,유리와 유리제품,제7003호·제7004호·제7005호의 유리(구부린 것·가장자리 가공한 것·조각한 것·구멍을 뚫은 것·에나멜을 칠한 것이나 그 밖의 방법으로 가공한 것으로 한정하
3908,535.6,4,플라스틱과 그 제품,폴리아미드[일차제품(primary form)으로 한정한다]
8428,526.3,20,원자로·보일러·기계류와 이들의 부분품,그 밖의 권양(捲揚)용·취급용·적하용·양하용 기계류[예: 리프트·에스컬레이터·컨베이어·텔레페릭(teleferic)]
7307,523.9,13,철강의 제품,철강으로 만든 관(管) 연결구류[예: 커플링(coupling)·엘보(elbow)·슬리브(sleeve)]
8302,518.7,10,비금속(卑金屬)으로 만든 각종 제품,비금속(卑金屬)으로 만든 장착구·부착구와 이와 유사한 물품[가구·문·계단·창·블라인드·차체(coachwork)·마구·트렁크·장·함이나 이와 유사한 것에 적합한 것
2814,518.2,2,"무기화학품, 귀금속·희토류(稀土類)금속·방사성원소·동위원소의 유기화합물이나 무기화합물",무수(無水)암모니아나 암모니아수
3811,516.2,5,각종 화학공업 생산품,안티녹(anti-knock)제·산화억제제·검화억제제(gum inhibitor)·점도향상제·부식방지제와 그 밖의 조제 첨가제[광물유(가솔린을 포함한다)용이나 광물유
2303,511.2,4,"식품 공업에서 생기는 잔재물과 웨이스트(waste), 조제 사료","전분박과 이와 유사한 박(residue)류, 비트펄프(beet-pulp), 버개스(bagasse)와 그 밖의 설탕을 제조할 때 생기는 웨이스트(waste), 양조"
2008,508.3,28,채소·과실·견과류나 식물의 그 밖의 부분의 조제품,그 밖의 방법으로 조제하거나 보존처리한 과실·견과류와 그 밖의 식용에 적합한 식물의 부분(설탕이나 그 밖의 감미료나 주정을 첨가했는지에 상관없으며 따로 분류되지 
7228,497.3,13,철강,"그 밖의 합금강의 그 밖의 봉, 그 밖의 합금강의 형강(形鋼), 합금강이나 비합금강의 중공(中空) 드릴봉"
9019,495.1,9,"광학기기·사진용 기기·영화용 기기·측정기기·검사기기·정밀기기·의료용 기기, 이들의 부분품과 부속품","기계요법용 기기, 마사지용 기기, 심리학적 적성검사용 기기, 오존 흡입기·산소 흡입기·에어로졸 치료기·인공호흡기나 그 밖의 치료용 호흡기기"
6909,492.1,4,도자제품,"실험실용·화학용이나 그 밖의 공업용 도자제품, 농업용 도자제 통과 이와 유사한 용기, 물품의 수송용·포장용으로 사용하는 도자제의 항아리·단지와 이와 유사한 제품"
3910,489.2,4,플라스틱과 그 제품,실리콘수지[일차제품(primary form)으로 한정한다]
8505,470.9,10,"전기기기와 그 부분품, 녹음기·음성 재생기·텔레비전의 영상과 음성의 기록기·재생기와 이들의 부분품·부속품","전자석, 영구자석과 자화(磁化)한 후 영구자석으로 사용되는 물품, 전자석이나 영구자석식 척(chuck)·클램프와 이와 유사한 가공물 홀더, 전자석 커플링(coup"
7225,457.8,24,철강,그 밖의 합금강의 평판압연제품(폭이 600밀리미터 이상인 것으로 한정한다)
2005,452.5,19,채소·과실·견과류나 식물의 그 밖의 부분의 조제품,"조제하거나 보존처리한 그 밖의 채소(식초나 초산으로 처리한 것은 제외하고, 냉동하지 않은 것으로 한정하며, 제2006호의 물품은 제외한다)"
7504,451.4,2,니켈과 그 제품 소호주: 1. 이 류에서 다음 각 목의 용어는 아래에서 정하는 바에 따른다. 가. 합금하지 않은 니켈 니켈과 코발트의 함유량이 전 중량의 100분의 99 이상인 금속으로서 다음 조건에 모두 해당하여야 한다.,니켈의 가루와 플레이크(flake)
2915,432.1,40,유기화학품,"포화비환식모노카르복시산과 이들의 무수물(無水物)·할로겐화물·과산화물·과산화산, 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체"
8477,430.0,10,원자로·보일러·기계류와 이들의 부분품,고무나 플라스틱을 가공하거나 이들 재료로 제품을 제조하는 기계(이 류에 따로 분류되지 않은 것으로 한정한다)
4016,427.8,14,고무와 그 제품,가황한 고무의 그 밖의 제품[경질(硬質)고무로 만든 것은 제외한다]
3913,427.7,6,플라스틱과 그 제품,"천연중합체(예: 알긴산)와 변성한 천연중합체(예: 경화 단백질, 천연고무의 화학적 유도체)[일차제품(primary form)으로서 따로 분류되지 않은 것으로 한정"
2916,424.0,29,유기화학품,"불포화비환식모노카르복시산·환식모노카르복시산과 이들의 무수물(無水物)·할로겐화물·과산화물·과산화산, 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체"
8512,423.0,9,"전기기기와 그 부분품, 녹음기·음성 재생기·텔레비전의 영상과 음성의 기록기·재생기와 이들의 부분품·부속품",전기식 조명용이나 신호용 기구(제8539호의 물품은 제외한다)·윈드스크린와이퍼(windscreen wiper)·제상기(defroster)·제무기(demister)
7323,422.1,6,철강의 제품,"철강으로 만든 식탁용품·주방용품이나 그 밖의 가정용품과 이들의 부분품, 철강의 울, 철강으로 만든 용기 세정용구와 세정용이나 폴리싱(polishing)용 패드·글"
1214,413.5,6,"채유(採油)에 적합한 종자와 과실, 각종 종자와 과실, 공업용·의약용 식물, 짚과 사료용 식물",스위드(swede)·맹골드(mangold)·사료용 뿌리채소류(根菜類)·건초·루우산(lucerne)(알팔파)·클로버(clover)·샌포인(sainfoin)·사료용 
7401,409.2,2,구리와 그 제품,구리의 매트(mat)와 시멘트동(침전동)
9014,408.9,10,"광학기기·사진용 기기·영화용 기기·측정기기·검사기기·정밀기기·의료용 기기, 이들의 부분품과 부속품",방향탐지용 컴퍼스(compass)와 그 밖의 항행용 기기
3206,402.2,12,"유연용·염색용 추출물(extract), 탄닌과 이들의 유도체, 염료·안료와 그 밖의 착색제, 페인트·바니시(varnish), 퍼티(putty)와 그 밖의 매스틱(mastic), 잉크","그 밖의 착색제와 조제품(제3203호·제3204호·제3205호에 해당하는 물품은 제외하며, 이 류의 주 제3호의 것으로 한정한다), 루미노퍼(luminophore"
4811,393.8,12,"종이와 판지, 제지용 펄프·종이·판지의 제품","종이, 판지, 셀룰로오스워딩, 셀룰로오스섬유의 웹(web)[크기와는 관계 없이 롤 모양이나 직사각형(정사각형을 포함한다)의 시트(sheet) 모양으로서 도포·침투"
3917,393.6,20,플라스틱과 그 제품,플라스틱의 관·파이프·호스와 이들의 연결구류[예: 조인트(joint)·엘보(elbow)·플랜지(flange)]
7216,390.0,17,철강,철이나 비합금강의 형강(形鋼)
9029,389.6,7,"광학기기·사진용 기기·영화용 기기·측정기기·검사기기·정밀기기·의료용 기기, 이들의 부분품과 부속품","적산(積算)회전계·생산량계·택시미터·주행거리계·보수계와 이와 유사한 계기, 속도계와 회전속도계(제9014호나 제9015호의 것은 제외한다), 스트로보스코프(str"
2922,387.7,36,유기화학품,산소관능아미노화합물
2811,387.2,14,"무기화학품, 귀금속·희토류(稀土類)금속·방사성원소·동위원소의 유기화합물이나 무기화합물",그 밖의 무기산과 무기 비(非)금속 산화물
8531,385.8,12,"전기기기와 그 부분품, 녹음기·음성 재생기·텔레비전의 영상과 음성의 기록기·재생기와 이들의 부분품·부속품","전기식 음향이나 시각 신호용 기기(예: 벨·사이렌·표시반·도난경보기·화재경보기). 다만, 제8512호나 제8530호의 것은 제외한다."
6210,380.3,20,의류와 그 부속품(메리야스 편물이나 뜨개질편물은 제외한다),의류(제5602호·제5603호·제5903호·제5906호·제5907호의 직물류의 제품으로 한정한다)
2930,377.3,24,유기화학품,유기-황 화합물
7607,372.8,6,알루미늄과 그 제품 소호주: 1. 이 류에서 다음 각 목의 용어는 아래에서 정하는 바에 따른다. 가. 합금하지 않은 알루미늄 알루미늄의 함유량이 전 중량의 100분의 99 이상인 금속으로서 그 밖의 원소의 함유량이 중량비로 다음 표에 열거한 한도를 초과하지 않아야 한다.,알루미늄의 박(箔)[인쇄한 것인지 또는 종이·판지·플라스틱이나 이와 유사한 보강재로 뒷면을 붙인 것인지에 상관없으며 그 두께(보강재의 두께는 제외한다)가 0.2밀
6802,364.7,13,돌·플라스터(plaster)·시멘트·석면·운모나 이와 유사한 재료의 제품,"가공한 석비용·건축용 석재[슬레이트(slate)는 제외한다]와 이들의 제품(제6801호의 물품은 제외한다), 모자이크 큐브와 이와 유사한 것[천연 석재의 것으로서"
2401,363.5,11,"담배·제조한 담배 대용물, 연소시키지 않고 흡입하도록 만들어진 물품(니코틴을 함유하였는지에 상관없다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것",잎담배와 담배 부산물
2931,362.9,24,유기화학품,그 밖의 유기-무기화합물
3909,360.2,6,플라스틱과 그 제품,아미노수지·페놀수지·폴리우레탄[일차제품(primary form)으로 한정한다]
2818,358.3,6,"무기화학품, 귀금속·희토류(稀土類)금속·방사성원소·동위원소의 유기화합물이나 무기화합물","인조 커런덤(corundum)(화학적으로 단일한 것인지에 상관없다), 산화알루미늄, 수산화알루미늄"
3006,356.4,28,의료용품,의료용품(이 류의 주 제4호의 물품으로 한정한다)
7409,355.9,18,구리와 그 제품,구리의 판·시트(sheet)·스트립(두께가 0.15밀리미터를 초과하는 것으로 한정한다)
2918,346.7,32,유기화학품,"추가 산소관능을 갖는 카르복시산과 이들의 무수물(無水物)·할로겐화물·과산화물·과산화산, 이들의 할로겐유도체·술폰화유도체·니트로화유도체·니트로소화유도체"
8424,346.2,21,원자로·보일러·기계류와 이들의 부분품,"액체나 가루의 분사용·살포용·분무용 기기(수동식인지에 상관없다), 소화기(소화제를 충전한 것인지에 상관없다), 스프레이건과 이와 유사한 기기, 증기나 모래의 분사"
2932,338.5,30,유기화학품,산소 원자만을 함유한 헤테로고리 화합물
8509,335.6,6,"전기기기와 그 부분품, 녹음기·음성 재생기·텔레비전의 영상과 음성의 기록기·재생기와 이들의 부분품·부속품","가정용 전기기계식 기기(전동기를 갖춘 것으로 한정하며, 제8508호의 진공청소기는 제외한다)"
6815,333.6,9,돌·플라스터(plaster)·시멘트·석면·운모나 이와 유사한 재료의 제품,"석제품이나 그 밖의 광물성 재료의 제품[탄소섬유·탄소섬유의 제품·이탄(泥炭)제품을 포함하며, 따로 분류되지 않은 것으로 한정한다]"
1302,318.2,29,"락(lac), 검·수지·그 밖의 식물성 수액과 추출물(extract)","식물성 수액과 추출물(extract), 펙틴질, 펙티닝산염(pectinate)과 펙틴산염(pectate), 식물성 원료에서 얻은 한천·그 밖의 점질물과 시커너(t"
9701,313.9,10,예술품·수집품·골동품,"회화·데생·파스텔(손으로 직접 그린 것으로 한정하며, 제4906호의 도안과 손으로 그렸거나 장식한 가공품은 제외한다), 콜라주(collage)·모자이크와 이와 유"
8466,312.6,9,원자로·보일러·기계류와 이들의 부분품,제8456호부터 제8465호까지의 기계에 전용되거나 주로 사용되는 부분품과 부속품[가공물홀더·툴홀더(tool holder)·자동개폐식 다이헤드(diehead)·분
6305,312.4,6,"제품으로 된 방직용 섬유의 그 밖의 물품, 세트, 사용하던 의류·방직용 섬유제품, 넝마",포장용 빈 포대
8511,307.1,16,"전기기기와 그 부분품, 녹음기·음성 재생기·텔레비전의 영상과 음성의 기록기·재생기와 이들의 부분품·부속품","불꽃점화식이나 압축점화식 내연기관의 점화용·시동용 전기기기(예: 점화용 자석발전기·자석발전기·점화코일·점화플러그·예열플러그·시동전동기), 내연기관에 부속되는 발전"
8426,304.5,14,원자로·보일러·기계류와 이들의 부분품,"선박의 데릭(derrick), 크레인(케이블크레인을 포함한다), 이동식 양하대·스트래들 캐리어(straddle carrier), 크레인이 결합된 작업트럭"
0710,298.2,17,식용의 채소·뿌리·괴경(塊莖),냉동채소(조리하지 않은 것이나 물에 삶거나 쪄서 조리한 것으로 한정한다)
2620,297.1,9,광(鑛)·슬래그(slag)·회(灰),"슬래그(slag), 회(灰), 잔재물(금속·비소나 이들의 화합물을 함유한 것으로 한정하며, 철강을 제조할 때 생기는 것은 제외한다)"
2909,297.0,24,유기화학품,에테르·에테르알코올·에테르페놀·에테르알코올페놀·과산화알코올·과산화에테르·과산화아세탈과 과산화헤미아세탈·과산화케톤(화학적으로 단일한 것인지에 상관없다)과 이들의 할
3924,295.8,4,플라스틱과 그 제품,플라스틱으로 만든 식탁용품·주방용품·그 밖의 가정용품·위생용품·화장용품
2306,289.7,11,"식품 공업에서 생기는 잔재물과 웨이스트(waste), 조제 사료",오일 케이크와 그 밖의 고체 형태인 유박[잘게 부순 것인지 또는 펠릿(pellet) 모양인지에 상관없으며 제2304호나 제2305호의 것은 제외한 식물성·미생물성
3302,287.7,5,"정유(essential oil)와 레지노이드(resinoid), 조제향료와 화장품·화장용품","방향성(芳香性) 물질의 혼합물과 방향성(芳香性) 물질의 하나 이상을 기본 재료로 한 혼합물(알코올의 용액을 포함하며, 공업용 원료로 사용하는 것으로 한정한다), "
2926,281.6,7,유기화학품,니트릴관능화합물
7402,280.5,2,구리와 그 제품,정제하지 않은 구리와 전해정제용 구리 양극
3821,278.3,1,각종 화학공업 생산품,미생물(바이러스와 이와 유사한 것을 포함한다)·식물·인간·동물 세포의 성장이나 보존을 위한 조제 배양제
7226,274.7,11,철강,그 밖의 합금강의 평판압연제품(폭이 600밀리미터 미만인 것으로 한정한다)
8467,272.8,19,원자로·보일러·기계류와 이들의 부분품,"수지식 공구(압축공기식, 유압식, 전동기를 갖추거나 비전기식 모터를 갖춘 것으로 한정한다)"
2907,269.9,20,유기화학품,페놀과 페놀알코올
2827,269.9,18,"무기화학품, 귀금속·희토류(稀土類)금속·방사성원소·동위원소의 유기화합물이나 무기화합물","염화물·산화염화물·수산화염화물, 브롬화물·산화브롬화물과 요드화물·산화요드화물"
4804,268.7,22,"종이와 판지, 제지용 펄프·종이·판지의 제품","도포하지 않은 크라프트지와 판지[롤 모양이나 시트(sheet) 모양으로 한정하며, 제4802호나 제4803호의 것은 제외한다]"
2004,267.7,3,채소·과실·견과류나 식물의 그 밖의 부분의 조제품,"조제하거나 보존처리한 그 밖의 채소(식초나 초산으로 처리한 것은 제외하고, 냉동한 것으로 한정하며, 제2006호의 물품은 제외한다)"
1901,266.7,14,곡물·고운 가루·전분·밀크의 조제품과 베이커리 제품,맥아 추출물(extract)과 고운 가루·부순 알곡·거친 가루·전분이나 맥아 추출물(extract)의 조제 식료품[코코아를 함유하지 않은 것이나 완전히 탈지(脫脂
2924,266.2,20,유기화학품,"카르복시 아미드관능화합물, 탄산의 아미드관능화합물"
8547,264.5,3,"전기기기와 그 부분품, 녹음기·음성 재생기·텔레비전의 영상과 음성의 기록기·재생기와 이들의 부분품·부속품","전기기기용으로서 전부가 절연재료로 구성된 절연용 물품(나선가공 소켓과 같이 단순히 조립을 위하여 주조과정에서 소량의 금속이 주입된 것을 포함하며, 제8546호의 "
2207,263.7,4,음료·주류·식초,"변성하지 않은 에틸알코올(알코올의 용량이 전 용량의 100분의 80 이상인 것으로 한정한다), 변성 에틸알코올과 그 밖의 변성 주정(알코올의 용량은 상관없다)"
7020,263.5,6,유리와 유리제품,유리로 만든 그 밖의 제품
3906,262.3,3,플라스틱과 그 제품,아크릴의 중합체[일차제품(primary form)으로 한정한다]
8609,254.5,6,"철도용이나 궤도용 기관차·차량과 이들의 부분품, 철도용이나 궤도용 장비품과 그 부분품, 기계식(전기기계식을 포함한다) 각종 교통신호용 기기","컨테이너(액체운반용 컨테이너를 포함하며, 하나 이상의 운송수단으로 운반할 수 있도록 특별히 설계되고 구조를 갖춘 것으로 한정한다)"
8456,253.0,11,원자로·보일러·기계류와 이들의 부분품,각종 재료의 가공 공작기계[레이저나 그 밖의 광선·광자빔·초음파·방전·전기화학·전자빔·이온빔·플라즈마아크(plasma arc) 방식으로 재료의 일부를 제거하여 가
8487,250.0,4,원자로·보일러·기계류와 이들의 부분품,"기계류의 부분품(접속자·절연체·코일·접촉자와 그 밖의 전기용품을 포함하지 않으며, 이 류에 따로 분류되지 않은 것으로 한정한다)"
8480,247.6,9,원자로·보일러·기계류와 이들의 부분품,"금속 주조용 주형틀, 주형 베이스, 주형 제조용 모형, 금속[잉곳(ingot)용은 제외한다]·금속탄화물·유리·광물성 물질·고무·플라스틱 성형용 주형"
6114,244.9,4,의류와 그 부속품(메리야스 편물이나 뜨개질 편물로 한정한다),그 밖의 의류(메리야스 편물이나 뜨개질 편물로 한정한다)
0206,243.5,12,육과 식용 설육(屑肉),"소·돼지·면양·염소·말·당나귀·노새·버새의 식용 설육(屑肉)(신선한 것, 냉장하거나 냉동한 것으로 한정한다)"
7411,243.2,6,구리와 그 제품,구리로 만든 관(管)
2836,243.1,12,"무기화학품, 귀금속·희토류(稀土類)금속·방사성원소·동위원소의 유기화합물이나 무기화합물","탄산염, 과산화탄산염(과탄산염), 상관습(商慣習)상의 탄산암모늄(카르밤산암모늄을 함유한 것으로 한정한다)"
7312,239.4,11,철강의 제품,철강으로 만든 연선(stranded wire)·로프·케이블·엮은 밴드·사슬과 이와 유사한 것(전기절연한 것은 제외한다)
2923,237.9,7,유기화학품,"제4암모늄염과 수산화 제4암모늄, 레시틴과 그 밖의 포스포아미노리피드(화학적으로 단일한 것인지에 상관없다)"
8475,236.5,8,원자로·보일러·기계류와 이들의 부분품,전기램프나 전자램프·튜브·밸브·섬광전구(외피를 유리로 만든 것으로 한정한다)의 조립기계와 유리나 유리제품의 제조용이나 열간(熱間)가공용 기계
2843,233.9,8,"무기화학품, 귀금속·희토류(稀土類)금속·방사성원소·동위원소의 유기화합물이나 무기화합물","콜로이드 귀금속, 귀금속의 무기화합물이나 유기화합물(화학적으로 단일한 화합물인지에 상관없다), 귀금속의 아말감(amalgam)"
2917,233.1,30,유기화학품,"폴리카르복시산과 이들의 무수물(無水物)·할로겐화물·과산화물·과산화산, 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체"
2845,232.0,7,"무기화학품, 귀금속·희토류(稀土類)금속·방사성원소·동위원소의 유기화합물이나 무기화합물",동위원소(제2844호의 것은 제외한다)와 그 동위원소의 무기화합물이나 유기화합물(화학적으로 단일한 것인지에 상관없다)
8515,228.1,29,"전기기기와 그 부분품, 녹음기·음성 재생기·텔레비전의 영상과 음성의 기록기·재생기와 이들의 부분품·부속품",전기식(전기발열에 따른 가스식을 포함한다)·레이저나 그 밖의 광선식·광자빔식·초음파식·전자빔식·자기펄스(magnetic pulse)식·플라즈마 아크(plasma 
7310,227.6,3,철강의 제품,"철강으로 만든 각종 재료용 탱크·통·드럼·캔·상자와 이와 유사한 용기(압축용이나 액화가스용은 제외하고, 기계장치나 가열·냉각장치를 갖추지 않은 것으로 용적이 30"
3905,225.6,7,플라스틱과 그 제품,"초산비닐의 중합체나 그 밖의 비닐에스테르의 중합체, 그 밖의 비닐중합체[일차제품(primary form)으로 한정한다]"
8438,222.6,11,원자로·보일러·기계류와 이들의 부분품,"식품 또는 음료의 조제·제조 산업용 기계(이 류에 따로 분류되지 않은 것으로 한정하며, 동물성 또는 비휘발성인 식물성·미생물성 지방이나 기름의 추출용이나 조제용 "
1702,219.1,17,당류(糖類)와 설탕과자,"그 밖의 당류(糖類)[화학적으로 순수한 유당(乳糖)·맥아당·포도당·과당을 포함하며, 고체상태인 것으로 한정한다], 당시럽[향미제(香味劑)나 착색제를 첨가하지 않은"
