term,aliases,target,note
소스,케첩|간장|마요네즈|드레싱,2103,
라면스프,조미료|MSG|다시다|글루탐산,2103|2106|292242,
아이스크림,빙과,2105,
생수,광천수|먹는샘물,2201,
음료,탄산음료|콜라|사이다|에너지드링크,2202,
맥주,생맥주|수입맥주,2203,
와인,포도주|샴페인,2204,
막걸리,청주|사케|정종,2206,
위스키,보드카|럼|진|브랜디|소주,2208,
사료,배합사료|반려동물사료|개사료|고양이사료,2309,
담배,궐련|시가,2402,
전자담배,액상담배|궐련형전자담배,2404,
밸브,볼밸브|게이트밸브|체크밸브|콕,8481,
디스플레이모듈,평판디스플레이|LCD모듈|OLED모듈,8524,
메모리카드,USB|SD카드|저장매체|광디스크,8523,
구리스크랩,동스크랩|폐동,7404,
알루미늄스크랩,폐알루미늄,7602,
합금철,페로실리콘|페로망간,7202,
광학렌즈,프리즘|반사경|광학소자,9002,
철구조물,철골|강구조,7308,
플라스틱필름,비닐|필름,3920,
플라스틱제품,플라스틱용기|플라스틱부품,3926,
열교환기,증류기|살균기,8419,
철강제품,철강가공품,7326,
